Model,Dataset,Accuracy,F1,ROC-AUC
Logistic Regression,Validation,0.7536231884057971,0.7792207792207793,0.8137108792846497
Random Forest,Validation,0.8188405797101449,0.84472049689441,0.8869491164573132
Logistic Regression + SMOTE,Validation,0.7463768115942029,0.7651006711409396,0.8164786033638493
XGBoost,Validation,0.7898550724637681,0.8176100628930817,0.8801362571854375
LightGBM,Validation,0.8043478260869565,0.8280254777070064,0.8780072386629763
Logistic Regression,Validation,0.7536231884057971,0.7792207792207793,0.8137108792846497
Random Forest,Validation,0.8188405797101449,0.84472049689441,0.8829039812646369
XGBoost,Validation,0.8188405797101449,0.8427672955974842,0.8904619970193741
LightGBM,Validation,0.8115942028985508,0.8375,0.8971684053651267
